imdbID,Title,Year,Directors
,100 litraa sahtia,2024,Teemu Nikki
tt32611911,Min evige sommer,2025,
tt0075652,Al di là del bene e del male,1977,
,About a Hero,2024,
,Den stygge stesøsteren,2025,
tt12300742,Bugonia,2025,
tt32448239,Dracula,2025,Radu Jude
,Duas vezes João Liberada,2025,Paula Tomás Marques
tt28514971,Onkel Jens,2025,Brwa Vahabpour
tt28696867,Le Lac,2025,
,Fiume o morte!,2025,Igor Bezinović
tt32321317,Pillion,2025,
tt31152353,Life and other problems,2024,Max Kestner
,Helsinkio efektas,2025,Arthur Franck
,Hysteria,2025,
tt35455855,Les Enfants vont bien,2025,
tt37438800,Raději zešílet v divočině,2025,
tt0151113,Jausmai,1968,
,Fekete pont,2024,
tt36131218,Skönärit,2025,Milja Viita
,How to Be Normal and the Oddness of the Other World,2025,
,"Vetre, Pričaj Sa Mnom",2025,
tt29271671,Karavan,2025,
tt37538491,Tabi to Hibi,2025,Shô Miyake
tt20414360,Köln 75,2025,
tt33400055,Kika,2025,Alexe Poukine
tt35492581,Kontinental'25,2025,
tt0106765,Dove siete? Io sono qui!,1993,
tt26923797,Sorda,2025,Eva Libertad
,Κιούκα Πριν το τέλος του καλοκαιριού,2024,
tt33381401,Ástin sem eftir er,2025,Hlynur Pálmason
tt35500283,Was Marielle weiß,2025,Frédéric Hambalek
tt37963565,Lagūna,2025,
,Strichka chasu,2025,
tt15205344,L'ordine del tempo,2023,
,La danse des renards,2025,
,Dragonfly,2025,Paul Andrew Williams
tt28171985,La Tour de Glace,2025,
tt34728348,Sehnsucht in Sangerhausen,2025,
,"Maya, donne moi un titre",2025,Michel Gondry
tt36873832,Bulk,2025,
,Maža išpažintis,1981,
tt21223304,Los pequeños amores,2024,
tt15321652,Kærlighedens gerninger,2025,
,Meno karas,2025,
,On vous croit,2025,
tt21257788,Estações,2025,
tt0071841,Milarepa,1974,
tt0071910,Il portiere di notte,1974,
,Il portiere di notte: nascita e scandalo di un film leggendario,2024,
,Heldin,2025,
tt31688586,Nouvelle Vague,2025,Richard Linklater
tt32472708,Ciudad Sin Sueño,2025,Guillermo Galoe
,No Sleep Till,2024,
tt28510594,Linije želje,2025,Dane Komljen
tt32454750,Se Meg,2025,
tt28865633,Jossain on valo joka ei sammu,2025,
,Nino,2025,
,L'accident de piano,2025,Quentin Dupieux
tt0082893,La pelle,1981,
tt33589472,Orenda,2025,
,Den Sidste Viking,2025,Anders Thomas Jensen
tt22237964,La misteriosa mirada del flamenco,2025,
tt37538646,"Tóc, giấy và nước...",2025,
tt0097383,Francesco,1989,
,Sadūto tūto,1974,
tt27796126,Islands,2025,
tt0057657,Jean-Marc ou La vie conjugale,1964,
tt0057656,Françoise ou La vie conjugale,1964,
,Senelis,2025,
,Senio kelionės,2025,
,Schwesterherz,2025,Sarah Miro Fischer
tt34340953,Smėlis tavo plaukuose,2025,
,Spetsialna Operatsiia,2025,
,Das Schiffbruch-Triptychon,2025,Deniz Eroglu
,Aimer perdre,2024,"Harpo Guit, Lenny Guit"
tt30810787,Drømmer,2024,Dag Johan Haugerud
,Tabasco,2025,
,O Riso e a Faca,2025,
,Solvent,2024,
,Pociągi,2024,
tt35456230,Värn,2025,
tt27811632,Stille Freundin,2025,
tt31974122,Paternal Leave,2025,
,Le rendez-vous de l'été,2025,
tt35484319,El diablo fuma (y guarda las cabezas de los cerillos quemados en la misma caja),2025,Ernesto Martínez Bucio
,Inland Empire,2006,David Lynch
tt32766835,Tre menn til Vilma,2024,
,Visi prieš vieną,1986,
tt0079244,XIX saukunis qartuli qronika,1979,
,Polvo serán,2024,
tt31116299,Das Licht,2025,
tt38060097,Jóhanna af örk,2025,
