imdbID,Title,Year,Directors
tt0297704,Adomas nori buti zmogumi,1959,Vytautas Žalakevičius
,For Evigt,2024,Ulaa Salim
,Le Deuxième acte,2024,Quentin Dupieux
,Arthur & Diana,2023,Sara Summa
tt19815456,Banzo,2024,Margarida Cardoso
tt22335698,Yeni Safak Solarken,2024,Gürcan Keltek
,Brazil,1985,Terry Gilliam
tt24177444,Camino,2023,Birgitte Staermose
,Didi diena,2023,Hisham Zaman
,Les Reines du drame,2024,Alexis Langlois
,Perhoset,2024,Jenni Tivoniemi
,Farukas,2024,Asli Özge
,Favoriten,2024,Ruth Beckermann
tt0106961,Franzas Kafka. Nuostabus gyvenimas,1993,Peter Capaldi
tt27828550,Fréwaka,2024,Aislinn Clarke
,Gabrielius iš neprarastojo rojaus,2024,Linas Mikuta
,Miséricorde,2024,Alain Guiraudie
,Grand Tour,2024,Miguel Gomes
,Die Herrlichkeit des Lebens,2024,"Georg Maas,Judith Kaufman"
tt0151035,Iko shashvi mgalobeli,1970,Otar Iosseliani
,L'Empire,2024,Bruno Dumont
tt32096614,The Invasion,2024,Sergejus Loznica
,Historia de Pastores,2024,Jaime Puertas Castillo
tt30953867,Verbrannte Erde,2024,Thomas Arslan
tt26932649,She Loved Blossoms More,2024,Yannis Veslemes
tt27476906,Ljósbrot,2024,Rúnar Rúnarsson
,Kada je zazvonio telefon,2024,Iva Radivojević
tt30784023,Kas ateis pasibelsti į namo duris?,2024,Maja Novaković
,Cinema Laika,2023,Veljko Vidak
,Kita,2024,Thibault Emin
,Klassenverhältnisse,1984,Jean-Marie Straub & Danièle Huillet
,Spalovač mrtvol,1969,Juraj Herz
,La prisonnière de Bordeaux,2024,Patricia Mazuy
tt10695672,Sauvages,2024,Claude Barras
tt31018048,Mãos no fogo,2024,Margarida Gil
tt31036505,Sad Jokes,2024,Fabian Stumm
,Myrskyluodon Maija,2024,Tiina Lymi
,Les Gens d'à côté,2024,André Téchiné
tt18816836,Min fantastiske fremmede,2024,Johanna Pyykkö
tt9652782,Bait,2019,Mark Jenkin
tt26245982,Tardes de soledad,2024,Albert Serra
,Jakt,2024,Sarah Gyllenstierna
tt30810792,Kjærlighet,2024,Dag Johan Haugerud
,Vedreba,1967,Tengiz Abuladze
,Pigen med nålen,2024,Magnus von Horn
,Moteris ir keturi jos vyrai,1983,Algimantas Puipa
tt30517192,"Deda-Shvili an rame ar aris arasodes bolomde bneli,",2024,"Lana Gogoberidzė,Salomé Alexi"
tt29141179,Mond,2024,Kurdwin Ayub
,Mykkätrilogia,2024,Juho Kuosmanen
,Nesibaigianti vasara,2024,Miguel Llansó
tt2118648,Håndtering av udøde,2024,Thea Hvistendah
tt32478174,Od Marca Do Mája,2024,Martin Pavol Repka
,Nykstančios rūšys,2024,Šarūnas Mikulskis
tt13626436,Lobster Soup,2020,"Pepe Andreu,Rafael Molés"
tt32128666,À son image,2024,Thierry de Peretti
tt21958116,Panoptikoni,2024,George Sikharulidze
,Pasenusi žuvis,2024,Peter Hoogendoorn
tt14638208,Quislings siste dager,2024,
,Paskutinis rokenrolas,2024,"Ramunė Rakauskaitė,Elizabete Mežule-Gricmane"
,Danger Zone,2023,Vita Maria Drygas
,Perimtas ryšys,2024,Oksana Karpovych
tt0120075,Das Schloss,1997,Michael Haneke
,Swimming home,2024,Justin Anderson
tt15388574,The Afterlight,2021,Charlie Shackleton
tt0002130,L'inferno,1911,"Francesco Bertolini,Adolfo Padovan,Giuseppe de Liguoro"
tt29296048,I Dannati,2024,Roberto Minervini
tt28131457,Glyadyelov,2023,Ksenia Kravtsova
tt0057427,Le procès,1962,Orson Welles
tt16678512,Proces,1980,"Agnieszka Holland,Laco Adamik"
tt4913920,Procesas,1994,Algimantas Puipa
tt29266121,The Missile,2024,Miia Tervo
tt20425652,Redakcija,2024,Roman Bondarchuk
,Sucho,2024,Bohdan Sláma
,Seksas,2024,Dag Johan Haugerud
,Electric child,2024,Simon Jaquemet
,Ma vie ma gueule,2024,Sophie Fillières
,Der Fleck,2024,Willy Hans
tt28815991,Cartas Telepáticas,2024,Edgar Pêra
tt28523931,Transamazonija,2024,Pia Marais
tt0075963,Natvris khe,1976,Tengiz Abuladze
tt0048499,La Pointe-Courte,1955,Agnès Varda
,Vingt dieux,2024,Louise Courvoisier
tt0153509,Velnio nuotaka,1974,Arūnas Žebriūnas
,Vena,2024,Chiara Fleischhacker
tt26629652,Elskling,2024,Lilja Ingolfsdottir
tt24075348,XXL,2024,"Sawandi Groskind,Kim Ekberg"
,Šeimos terapija,2024,Sonja Prosenc
,Безветрие,2024,Pavel G. Vesnakov
tt27198573,Le procès du chien,2024,Laetitia Dosch
tt32889967,წმინდა ელექტროენერგია,2024,Tato Kotetishvili
tt30956144,Žiemos miegas,2024,Anna Cornudella Castro
,Der Spatz im Kamin,2024,Ramon Zürcher
