imdbID,Title,Year,Directors
tt14581084,Aksioma,2022,Jöns Jönsson
tt12252488,Amerika,2022,Ofir Raul Graizer
tt0070460,La Nuit américaine,1973,François Truffaut
,Antanas Sutkus: Scenos iš fotografo gyvenimo,2022,Vytautas V. Landsbergis
tt0103707,Die Antigone des Sophokles nach der Hölderlinschen Übertragung für die Bühne bearbeitet von Brecht 1948,1992,"Danièle Huillet,Jean-Marie Straub & Danièle Huillet"
,Syk pike,2022,Kristoffer Borgli
tt9489944,Brigitte Bardot Cudowna,2021,Lech Majewski
,Dažnių žvejyba,2022,Vytautas Tinteris
tt19783948,De humani corporis fabrica,2022,"Verena Paravel,Lucien Castaing-Taylor"
,Den store stilhed,2022,Katrine Brocks
tt14867294,Bachennya metelyka,2022,Maksym Nakonechnyi
tt21113810,Stric,2022,"David Kapac,Andrijo Mardešić"
tt9371666,"Eisiu, kiek reikės",2021,Stefan Arsenijević
tt4697290,Utvandrarna,2021,Erik Poppe
tt15010292,Flux Gourmet,2022,Peter Strickland
tt0082414,Frykas Orlando,1981,Ulrike Ottinger
tt12390508,Foudre,2022,Carmen Jaquier
tt14618312,Syndrom Hamleta,2022,"Elwira Niewiera,Piotr Rosołowski"
tt19652910,IO,2022,Jerzy Skolimowski
tt8841562,"À vendredi, Robinson",2022,Mitra Farahani
tt14188642,Eltörölni Frankot,2021,Gábor Fabricius
,Jau seniai nebebijau apakti,2021,Yannickas Mosimannas
tt19713112,Yuku et la fleur de l’Himalaya,2022,"Rémi Durinas,Arnaud Demuynckis"
tt0056919,Černý Petr,1964,Miloš Forman
tt14275050,Plus que jamais,2022,Emily Atef
tt14665658,Yak Tam Katia?,2022,Christina Tynkevych
,Kalės vaikai,2022,Isabella Carbonell
,Kapinynas,2022,Emilija Škarnulytė
tt0108906,Riget Exodus,2022,Lars von Trier
tt0093349,Karalius Lyras,1987,Jean-Luc Godard
tt0068278,Die bitteren Tränen der Petra von Kant,1972,Rainer Werner Fassbinder
tt10168670,Kaulai ir visa kita,2022,Luca Guadagnino
tt13475258,Viagem ao Sol,2021,"Susana de Sousa Dias,Ansgaras Schaeferis"
,Klondaikas,2022,Maryna Er Gorbach
tt17308130,Koma,2022,Bertrand’as Bonello
tt11917056,Muumipeikko ja pyrstötähti,2021,Hiroshi Saito
tt0057230,Konkurs,1964,Miloš Forman
tt11992694,Korsažas,2022,Marie Kreutzer
tt21376884,Kyjivo procesas,2022,Sergei Loznitsa
tt4455996,O Movimento das Coisas,1985,Manuela Serra
tt0085933,Senjō no Merī Kurisumasu,1983,Nagisa Ōšima
tt13830148,Re Granchio,2021,"Alessio Rigo de Righi,Matteo Zoppis"
tt0104278,Rote Ohren fetzen durch Asche,1991,"Ursula Pürrer,Dietmar Schipek,Ashley Hans Scheirl"
tt5851696,"Mano jūreivi, mano meile",2022,Klaus Härö
,Marat / Sade,1967,Peter Brook
tt18285792,Marseli!,2022,Jasmine Trinca
tt17309864,"Keiko, me wo sumasete",2022,Shô Miyake
,Metsurin Tarina,2022,Mikko Myllylahti
tt13328800,Tytöt tytöt tytöt,2022,Alli Haapasalo
tt12253164,Metronomas,2022,Alexandru Belc
tt13224490,Mis Viborgas,2022,Marianne Blicher
tt15068004,Pa Va Hêng,2021,Franziska von Stenglin
,Natten har øjne,2022,Gabriel Bier Gislason
,De uskyldige,2021,Eskil Vogt
tt13845660,Berdreymi,2022,Guðmundur Arnar Guðmundsson
tt15387506,Ustyrlig,2022,Malou Reymann
tt13145534,Incroyable mais vrai,2022,Quentin Dupieux
tt8296030,Niekada nebūsi vieniša,2022,Goran Stolevski
tt13864444,Niemand ist bei den Kälbern,2021,Sabrina Sarabi
tt21228936,Den siste våren,2022,Franciska Eliassen
tt13391708,Les cinq diables,2022,Léa Mysius
,Pjafas,2022,Ann Oren
tt19719904,Planas 75,2022,Chie Hayakawa
tt19623228,Vanskabte land,2022,Hlynur Pálmason
tt22089982,Prologos,2022,Mantas Kvedaravičius
tt21221028,Ryškiai blyksinti tamsa,2022,Gaëlle Rouard
tt13702796,Tourment sur les îles,2022,Albert Serra
,Sigurno mjesto,2022,Juraj Lerotić
tt14326086,Sausis,2022,Viesturs Kairišs
tt20873160,Sielų aukcionas. Neįtikėtina Auroros Mardiganian istorija,2022,Inna Sahakyan
,Strazdas - žalias paukštis,1990,"Jonas Vaitkus,"
tt13107800,"Sudie, Leonora",2022,Paolo Taviani
tt13058146,Sumautas Bornholmas,2022,Anna Kazejak
tt15255958,Superkomikė,2022,Sanna Lenken
tt13817770,Tokia žiauriai atsipūtusi,2022,Christoffer Sandler
tt18317064,Tori et Lokita,2022,"Luc Dardenne,Jean-Pierre Dardenne"
,Drii winter,2022,Michael Koch
tt11052678,Tyliosios dvynės,2022,Agnieszka Smoczyńska
tt0073822,Trollflöjten,1975,Ingmar Bergman
tt0056736,L‘eclisse,1962,Michelangelo Antonioni
tt12386022,Vandens pradas,2022,Dane Komljen
tt13482828,Un beau matin,2022,Mia Hansen-Løve
,Vilko dantų karoliai,1997,Algimantas Puipa
tt0067958,W.R. - Misterije organizma,1971,Dušan Makavejev
tt12826598,Interdit Aux Chiens et Aux Italiens,2022,Alain Ughetto
,Šuolis,2022,Isabelle Stever
tt14903018,Szelíd,2022,"Anna Nemes,László Csuja"
,Žaibo nušviesti,1996,Algimantas Puipa
tt13429362,Žemėje,2021,Benas Wheatley
tt19382970,Armotonta menoa – Hoivatyön lauluja,2022,Susanna Helke
,Slovo,2022,Beata Parkanová
,Žuvies diena,1989,Algimantas Puipa
