imdbID,Title,Year,Directors
,1970,2021,Tomasz Wolski
,Smagen af sult,2021,Christoffer Boe
,Amerikoniškoji tragedija - I serija,1981,Marijonas Giedrys
,Amerikoniškoji tragedija - II serija,1981,Marijonas Giedrys
,Amerikoniškoji tragedija - III serija,1981,Marijonas Giedrys
,Amerikoniškoji tragedija - IV serija,1981,Marijonas Giedrys
,Anatomia,2021,Ola Jankowska
,Die Welt wird eine andere sein,2021,Anne Zohra Berrached
,Artimieji,2020,Grzegorz Jaroszuk
,Vidblysk,2021,Valentyn Vasyanovych
,Zora,2020,Dalibor Matanić
,Dýrið,2021,Valdimar Johannsson
,Zgjoi,2021,Blerta Basholli
,Babiy Yar. Kontekst,2021,Sergei Loznitsa
,Kitoboj,2020,Philipp Yuryev
,Falleteknik,2021,Yngvild Sve Flikke
,Berberian garso įrašų studija,2012,Peter Strickland
,Bergmano sala,2020,Mia Hansen-Løve
,"Birželis, vasaros pradžia",1969,Raimondas Vabalas
,Braitono 4-oji,2021,Levan Koguashvili
,Bėgikė,2021,Andrius Blaževičius
,Cenzorė,2021,Prano Bailey-Bond
,Dainos butelyje 1–4,2021,"Chloé Galibert-Laîné, Kevin B. Lee"
,La Ciociara,1960,Vittorio De Sica
,Ladri Di Biciclette,1948,Vittorio De Sica
,Fabian oder Der Gang vor die Hunde,2021,Dominik Graf
,Faktas,1981,Almantas Grikevičius
,Il giardino dei Finzi-Contini,1970,Vittorio De Sica
,Världens vackraste pojke,2021,"Kristina Lindström, Kristian Petri"
,Matrimonio all'italiana,1964,Vittorio De Sica
,Den største forbrytelsen,2020,Eirik Svensson
,Kai aš mažas buvau,1968,Algirdas Araminas
,Kartumas,2009,"Hélène Cattet,Bruno Forzani"
,Klara Sola,2021,Nathalie Álvarez Mesén
,Blutsauger,2021,Julian Radlmaier
,Du som er i himlen,2021,Tea Lindeburg
,"Ras vkhedavt, rodesac cas vukurebt?",2021,Alexandre Koberidze
,Piccolo corpo,2021,Laura Samani
,Laisvėje,2021,Árni Ólafur Ásgeirsson
,Vildmænd,2021,Thomas Daneskov
,Tarapaty 2,2020,Marta Karwowska
,Malonumas,2021,Ninja Thyberg
,Mon légionnaire,2021,Rachel Lang
,A feleségem története,2021,Ildiko Enyedi
,Margrete den første,2021,Charlotte Sieling
,Ingenting å le av,2021,Petter Næss
,Gads pirms kara,2021,Dāvis Sīmanis
,Murena,2021,Antoneta Alamat Kusijanovic
,N.P.,2020,Lisa Spilliaert
,La nuit aux amants,2021,Julien Hilmoine
,Nedvejok,2021,Shariff Korver
,Żeby nie było śladów,2021,Jan Paweł Matuszynski
,Külön falka,2021,Hajni Kis
,"Sokea mies, joka ei halunnut nähdä Titanicia",2021,Teemu Nikki
,Myši patří do nebe,2021,"Jan Bubeníček,Denisa Grimmová"
,Glück,2021,Henrika Kull
,Hvor kragerne vender,2021,Lisa Jespersen
,Petrovy v grippe,2021,Kirill Serebrennikov
,El planeta,2021,Amalia Ulman
,Dasatskisi,2020,Dea Kulumbegashvili
,Den næstsidste,2020,Jonas Kærup Hjort
,Sinefilija,2021,Algimantas Puipa
,Przekładaniec,1968,Andrzej Wajda
,Miracolo a Milano,1951,Vittorio De Sica
,Sugrįžę iš Niujorko,2021,Ramunė Rakauskaitė
,Suvenyras. I dalis,2019,Joanna Hogg
,Suvenyras. II dalis,2021,Joanna Hogg
,Sūkurys,2021,Gaspar Noé
,Tarpininkas,2021,Bent Hamer
,Retfærdighedens ryttere,2020,Anders Thomas Jensen
,Zieja,2020,Robert Gliński
,Tigrara,2020,Ronnie Sandahl
,Umberto D,1952,Vittorio De Sica
,Vasaris,2020,Kamen Kalev
,Wszystko dla mojej matki,2020,Małgorzata Imielska
,Šaukiniai iš tolimo uosto,2021,Albina Griniūtė
,Šeimos rentgeno nuotrauka,2020,Firouzeh Khosrovani
,Ši liūtis niekada nesibaigs,2020,Alina Gorlova
,Sciuscià,1946,Vittorio De Sica
,Šlapias smėlis,2021,Elene Naveriani
,Hine Anachnu,2020,Nir Bergman
,Švelnūs kariai,2020,Marija Stonytė
,Espiritu sagrado,2021,Chema García Ibarra
,Stop-Zemlia,2021,Kateryna Gornostai
,"Žmogus, kuris pardavė savo odą",2020,Kaouther Ben Hania
